model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,gpqa,2,10,3,0,0,32,6082.925,31689.2,3326.6,654.87
Qwen/Qwen2.5-7B-Instruct,gpqa,2,20,3,0,0,32,14238.935,105757.1,7328.1,1535.54
Qwen/Qwen2.5-7B-Instruct,gpqa,2,30,3,0,0,32,22895.175,223440.2,11034.3,2467.97
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,2,3,0,1,32,935.895,1868.2,537.9,100.59
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,5,3,0,1,32,2313.39,7307.6,1308.1,248.77
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,10,3,0,1,32,5072.811,23701.0,2794.3,545.91
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,20,3,0,1,32,11492.669,85007.0,5956.7,1239.31
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,30,3,0,1,32,18404.627,183943.4,8943.9,1984.58
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,2,3,0,1,32,1254.114,1877.7,725.8,134.82
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,5,3,0,1,32,3598.548,8190.9,2053.6,386.82
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,10,3,0,1,32,7250.601,27897.7,4025.2,780.25
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,20,3,0,1,32,15911.028,103031.1,8346.2,1714.65
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,30,3,0,1,32,25059.668,224252.6,12396.8,2699.17
Qwen/Qwen2.5-7B-Instruct,gpqa,2,2,3,0,1,32,1062.603,2467.8,606.8,114.12
Qwen/Qwen2.5-7B-Instruct,gpqa,2,5,3,0,1,32,2879.758,9064.5,1630.7,309.47
Qwen/Qwen2.5-7B-Instruct,gpqa,2,10,3,0,1,32,5849.097,28141.6,3202.8,629.78
Qwen/Qwen2.5-7B-Instruct,gpqa,2,20,3,0,1,32,13172.545,97358.8,6751.0,1420.57
Qwen/Qwen2.5-7B-Instruct,gpqa,2,30,3,0,1,32,20650.914,207516.5,9835.0,2227.17
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,2,3,0,2,32,861.519,1829.1,489.9,92.5
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,5,3,0,2,32,2344.403,7202.2,1325.1,252.19
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,10,3,0,2,32,4946.794,23287.2,2706.4,532.61
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,20,3,0,2,32,10893.295,83787.6,5574.4,1175.6
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,30,3,0,2,32,17436.798,180390.1,8329.4,1880.8
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,2,3,0,2,32,1270.878,1829.4,719.7,136.44
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,5,3,0,2,32,3246.37,7963.0,1847.0,349.02
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,10,3,0,2,32,7224.162,27367.5,3995.6,777.55
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,20,3,0,2,32,15560.119,100690.6,8119.8,1677.16
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,30,3,0,2,32,23461.862,219781.9,11423.8,2528.46
Qwen/Qwen2.5-7B-Instruct,gpqa,2,2,3,0,2,32,946.166,2998.4,536.0,101.75
Qwen/Qwen2.5-7B-Instruct,gpqa,2,5,3,0,2,32,2568.319,10276.8,1442.4,276.01
Qwen/Qwen2.5-7B-Instruct,gpqa,2,10,3,0,2,32,5386.285,30341.2,2934.8,579.87
Qwen/Qwen2.5-7B-Instruct,gpqa,2,20,3,0,2,32,11943.623,100162.7,6063.8,1288.54
Qwen/Qwen2.5-7B-Instruct,gpqa,2,30,3,0,2,32,19618.869,209844.5,9277.1,2116.21
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,2,3,0,0,32,461.311,1839.4,504.3,49.93
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,5,3,0,0,32,1184.791,7129.5,1290.5,127.8
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,10,3,0,0,32,2663.021,23364.8,2740.5,287.25
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,20,3,0,0,32,6044.166,83020.8,5527.9,653.11
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,30,3,0,0,32,10439.382,180977.1,8567.0,1126.41
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,2,3,0,0,32,716.016,1865.4,805.8,77.01
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,5,3,0,0,32,1835.886,8100.5,2019.1,197.85
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,10,3,0,0,32,3877.131,27705.9,4052.6,418.11
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,20,3,0,0,32,8773.372,102031.3,8285.8,946.38
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,30,3,0,0,32,14481.947,222912.4,12344.7,1560.46
